Date,Building,Units_Consumed,Cost_Per_Unit,Total_Cost
01-01-2026,Hostel,313,8,2504
02-01-2026,Classroom,246,8,1968
03-01-2026,Office,133,8,1064
04-01-2026,Hostel,186,8,1488
05-01-2026,Library,334,8,2672
06-01-2026,Hostel,473,8,3784
07-01-2026,Hostel,465,8,3720
08-01-2026,Office,412,8,3296
09-01-2026,Library,387,8,3096
10-01-2026,Lab,218,8,1744
11-01-2026,Office,363,8,2904
12-01-2026,Library,253,8,2024
13-01-2026,Office,396,8,3168
14-01-2026,Hostel,355,8,2840
15-01-2026,Hostel,345,8,2760
16-01-2026,Hostel,245,8,1960
17-01-2026,Lab,346,8,2768
18-01-2026,Classroom,335,8,2680
19-01-2026,Classroom,148,8,1184
20-01-2026,Hostel,438,8,3504
21-01-2026,Classroom,108,8,864
22-01-2026,Library,224,8,1792
23-01-2026,Hostel,350,8,2800
24-01-2026,Library,159,8,1272
25-01-2026,Library,207,8,1656
26-01-2026,Library,147,8,1176
27-01-2026,Office,474,8,3792
28-01-2026,Office,276,8,2208
29-01-2026,Office,326,8,2608
30-01-2026,Office,360,8,2880
31-01-2026,Hostel,308,8,2464
01-02-2026,Classroom,469,8,3752
02-02-2026,Hostel,141,8,1128
03-02-2026,Classroom,409,8,3272
04-02-2026,Library,396,8,3168
05-02-2026,Office,482,8,3856
06-02-2026,Lab,402,8,3216
07-02-2026,Office,111,8,888
08-02-2026,Lab,177,8,1416
09-02-2026,Hostel,154,8,1232
10-02-2026,Hostel,381,8,3048
11-02-2026,Library,457,8,3656
12-02-2026,Classroom,444,8,3552
13-02-2026,Office,456,8,3648
14-02-2026,Hostel,439,8,3512
15-02-2026,Classroom,405,8,3240
16-02-2026,Classroom,217,8,1736
17-02-2026,Lab,444,8,3552
18-02-2026,Hostel,444,8,3552
19-02-2026,Library,500,8,4000
20-02-2026,Classroom,320,8,2560
21-02-2026,Classroom,213,8,1704
22-02-2026,Classroom,228,8,1824
23-02-2026,Hostel,231,8,1848
24-02-2026,Office,446,8,3568
25-02-2026,Library,323,8,2584
26-02-2026,Library,291,8,2328
27-02-2026,Lab,320,8,2560
28-02-2026,Hostel,405,8,3240
01-03-2026,Classroom,385,8,3080
02-03-2026,Office,385,8,3080
03-03-2026,Office,441,8,3528
04-03-2026,Library,150,8,1200
05-03-2026,Hostel,187,8,1496
06-03-2026,Hostel,493,8,3944
07-03-2026,Office,215,8,1720
08-03-2026,Classroom,111,8,888
09-03-2026,Library,342,8,2736
10-03-2026,Hostel,319,8,2552
11-03-2026,Lab,450,8,3600
12-03-2026,Hostel,132,8,1056
13-03-2026,Hostel,475,8,3800
14-03-2026,Library,111,8,888
15-03-2026,Lab,421,8,3368
16-03-2026,Office,255,8,2040
17-03-2026,Office,373,8,2984
18-03-2026,Classroom,460,8,3680
19-03-2026,Lab,245,8,1960
20-03-2026,Office,154,8,1232
21-03-2026,Office,131,8,1048
22-03-2026,Lab,428,8,3424
23-03-2026,Office,466,8,3728
24-03-2026,Library,295,8,2360
25-03-2026,Classroom,453,8,3624
26-03-2026,Hostel,245,8,1960
27-03-2026,Library,392,8,3136
28-03-2026,Lab,374,8,2992
29-03-2026,Classroom,411,8,3288
30-03-2026,Classroom,107,8,856
31-03-2026,Office,372,8,2976
01-04-2026,Library,352,8,2816
02-04-2026,Classroom,212,8,1696
03-04-2026,Hostel,257,8,2056
04-04-2026,Hostel,500,8,4000
05-04-2026,Hostel,422,8,3376
06-04-2026,Lab,301,8,2408
07-04-2026,Classroom,271,8,2168
08-04-2026,Library,384,8,3072
09-04-2026,Lab,194,8,1552
10-04-2026,Office,400,8,3200
